ticket_id,subject,created_date,company
420947714279,Vertragsarten ergänzen,2026-06-22,PIMA Health Group
421197148379,Rechnung ist nicht in Business Central angekommen,2026-06-24,rebuy
421151237332,Ticket HT – Priorität Urgent - Rexel Anbindung,2026-06-24,Hydrogenious LOHC Technologies
421130806458,"""Total Request Net Amount"" not working in Invoice Approval.",2026-06-24,rebuy
421414343870,Vertragsart wird nicht angezeigt,2026-06-25,PIMA Health Group
421092953291,Final Invoice Received: Still in Status Delivered,2026-06-25,rebuy
421469034701,"SSO, SAML, SCIM",2026-06-26,retarus.de
421427190992,Freitag – zugewiesene Aufgaben: 1 – rebuy,2026-06-26,Asana
421835432131,Fwd: Follow-Ups Implementierung,2026-06-29,Quantum Systems
421585478870,REB-DE-R260127 hat keinen Freigeber,2026-06-29,rebuy
421930397887,Übermittlung von Bestellungen über Sonepar_Shop,2026-06-30,A.S. Création Tapeten
422250824903,Ticket Nr. 422250824903,2026-07-01,Hamberger Industriewerke GmbH
422801956041,neuer Workflow für IT-Komponenten,2026-07-03,Tenowo
422914801870,Editiermodus Bestellung,2026-07-06,PIMA Health Group
422891366642,Rückfrage Artikelanpassung,2026-07-06,Brera Serviced Apartments
422692029629,WG: Katalog-Bestellung,2026-07-06,Tenowo
422808636633,Artikelbeschreibung wird en statt de angezeigt,2026-07-07,Media-Saturn Deutschland GmbH
422794502349,WG: ext: [Hivebuy] Fehler in der Schnittstelle,2026-07-07,Hivebuy
422792796349,Fehler Button "als geliefert markiert" - Oberlinhaus,2026-07-07,Oberlinhaus
422898963679,Ersteinrichtung nicht möglich // Aleksandra Ekholm,2026-07-07,retarus.de
422952559814,Anmeldung neuer Nutzer fehlgeschlagen,2026-07-08,A.S. Création Tapeten
422938747101,Offene Punkte Hivebuy,2026-07-08,Tenowo
422964886762,Hivebuy Bestellung 000533,2026-07-09,Nfon AG
422964977870,WG: Termin heute,2026-07-09,Borussia Dortmund
